CONTEXT,HYPOTHESIS,LABEL,CONTEXT_FROM,HYPOTHESIS_FROM,CONTEXT_ID,HYPOTHESIS_ID,SUBSET
"Several people dressed in blue, one is twirling a ribbon",People in red at a sit in.,1,SNLI-train,SNLI-CONTRADICTION,2252613928.jpg#2,2252613928.jpg#2r1c,SNLI
A group of women being served hors d'oeuvres at an affair.,There are hors d'oeuvers at the event.,5,SNLI-train,SNLI-ENTAILMENT,226697434.jpg#2,226697434.jpg#2r1e,SNLI
A group of women being served hors d'oeuvres at an affair.,The women are at a fundraising dinner.,3,SNLI-train,SNLI-NEUTRAL,226697434.jpg#2,226697434.jpg#2r1n,SNLI
A group of women being served hors d'oeuvres at an affair.,The women are hungry and there isn't any food around.,1,SNLI-train,SNLI-CONTRADICTION,226697434.jpg#2,226697434.jpg#2r1c,SNLI
Asians eating in a restaurant with an orange motif.,The Asians are eating.,5,SNLI-train,SNLI-ENTAILMENT,2270955453.jpg#3,2270955453.jpg#3r1e,SNLI
Asians eating in a restaurant with an orange motif.,The Asians are enjoying their last meal together.,3,SNLI-train,SNLI-NEUTRAL,2270955453.jpg#3,2270955453.jpg#3r1n,SNLI
Asians eating in a restaurant with an orange motif.,The Asians are playing cards.,2,SNLI-train,SNLI-CONTRADICTION,2270955453.jpg#3,2270955453.jpg#3r1c,SNLI
Two women are bathing at a spa.,Females are washing themselves.,5,SNLI-train,SNLI-ENTAILMENT,2282573692.jpg#4,2282573692.jpg#4r1e,SNLI
Two women are bathing at a spa.,Females are are in a hot tub.,4,SNLI-train,SNLI-NEUTRAL,2282573692.jpg#4,2282573692.jpg#4r1n,SNLI
Two women are bathing at a spa.,Males are playing raquet ball.,1,SNLI-train,SNLI-CONTRADICTION,2282573692.jpg#4,2282573692.jpg#4r1c,SNLI
A chef is preparing some skewers with some sort of meat on it.,The chef is preparing a meal.,5,SNLI-train,SNLI-ENTAILMENT,2289711389.jpg#1,2289711389.jpg#1r1e,SNLI
A chef is preparing some skewers with some sort of meat on it.,A chef is preparing his restaraunt's meal of the day: dog.,2,SNLI-train,SNLI-NEUTRAL,2289711389.jpg#1,2289711389.jpg#1r1n,SNLI
A chef is preparing some skewers with some sort of meat on it.,The people are swimming the beach.,3,SNLI-train,SNLI-CONTRADICTION,2289711389.jpg#1,2289711389.jpg#1r1c,SNLI
A dentist's office; two dentists in blue uniform are working on a patient's mouth.,A person working,5,SNLI-train,SNLI-ENTAILMENT,2291536922.jpg#0,2291536922.jpg#0r1e,SNLI
A dentist's office; two dentists in blue uniform are working on a patient's mouth.,A tall person walking,2,SNLI-train,SNLI-NEUTRAL,2291536922.jpg#0,2291536922.jpg#0r1n,SNLI
A dentist's office; two dentists in blue uniform are working on a patient's mouth.,Nobody is walking,3,SNLI-train,SNLI-CONTRADICTION,2291536922.jpg#0,2291536922.jpg#0r1c,SNLI
A sportswoman is raising her arm to answer a question.,A human raising her arm,5,SNLI-train,SNLI-ENTAILMENT,23016091.jpg#2,23016091.jpg#2r1e,SNLI
A sportswoman is raising her arm to answer a question.,A tall human raising her arm,3,SNLI-train,SNLI-NEUTRAL,23016091.jpg#2,23016091.jpg#2r1n,SNLI
A sportswoman is raising her arm to answer a question.,Nobody is raising an arm,3,SNLI-train,SNLI-CONTRADICTION,23016091.jpg#2,23016091.jpg#2r1c,SNLI
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her.,The lady has two helpers.,5,SNLI-train,SNLI-ENTAILMENT,2304191667.jpg#0,2304191667.jpg#0r2e,SNLI
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her.,A lady teaching her grandchildren how to bake a cake.,3,SNLI-train,SNLI-NEUTRAL,2304191667.jpg#0,2304191667.jpg#0r1n,SNLI
A older lady is working with a mix master while two young boys stand next to her with aprons on helping her.,The lady has two young girls helping her.,2,SNLI-train,SNLI-CONTRADICTION,2304191667.jpg#0,2304191667.jpg#0r2c,SNLI
One young boy is holding a plastic sward with another young boy is holding a stick outside.,The boys are holding something.,5,SNLI-train,SNLI-ENTAILMENT,2307886611.jpg#0,2307886611.jpg#0r1e,SNLI
One young boy is holding a plastic sward with another young boy is holding a stick outside.,The boys are brothers.,3,SNLI-train,SNLI-NEUTRAL,2307886611.jpg#0,2307886611.jpg#0r1n,SNLI
One young boy is holding a plastic sward with another young boy is holding a stick outside.,The boys are empty handed.,3,SNLI-train,SNLI-CONTRADICTION,2307886611.jpg#0,2307886611.jpg#0r1c,SNLI
Girl in red jacket ponders while sitting in an art museum with cubes on the floor.,A girl is sitting in an art museum thinking.,5,SNLI-train,SNLI-ENTAILMENT,2308029439.jpg#2,2308029439.jpg#2r1e,SNLI
Girl in red jacket ponders while sitting in an art museum with cubes on the floor.,The girl is thinking about a display of cubes.,5,SNLI-train,SNLI-NEUTRAL,2308029439.jpg#2,2308029439.jpg#2r1n,SNLI
Girl in red jacket ponders while sitting in an art museum with cubes on the floor.,The girl is wearing a yellow jacket.,1,SNLI-train,SNLI-CONTRADICTION,2308029439.jpg#2,2308029439.jpg#2r1c,SNLI
A man climbing an icy glacier with the assistance of a pick.,The man climbs the glacier.,5,SNLI-train,SNLI-ENTAILMENT,2327088022.jpg#2,2327088022.jpg#2r2e,SNLI
A man climbing an icy glacier with the assistance of a pick.,The man is climbing with the help of a pick.,5,SNLI-train,SNLI-NEUTRAL,2327088022.jpg#2,2327088022.jpg#2r2n,SNLI
A man climbing an icy glacier with the assistance of a pick.,The man is falling off the cliff.,2,SNLI-train,SNLI-CONTRADICTION,2327088022.jpg#2,2327088022.jpg#2r2c,SNLI
An Asian man is at a hair salon getting a shampoo from an Asian hair stylist.,A man getting his hair shampooed.,5,SNLI-train,SNLI-ENTAILMENT,2328210895.jpg#1,2328210895.jpg#1r1e,SNLI
An Asian man is at a hair salon getting a shampoo from an Asian hair stylist.,An Asian man at his favorite hair salon.,3,SNLI-train,SNLI-NEUTRAL,2328210895.jpg#1,2328210895.jpg#1r1n,SNLI
An Asian man is at a hair salon getting a shampoo from an Asian hair stylist.,An Asian man getting a haircut.,4,SNLI-train,SNLI-CONTRADICTION,2328210895.jpg#1,2328210895.jpg#1r1c,SNLI
A man is removing a garter for a lady.,The man is taking something off the woman's leg.,3,SNLI-train,SNLI-ENTAILMENT,233327292.jpg#2,233327292.jpg#2r1e,SNLI
A man is removing a garter for a lady.,The man and woman just got married.,3,SNLI-train,SNLI-NEUTRAL,233327292.jpg#2,233327292.jpg#2r1n,SNLI
A man is removing a garter for a lady.,The man is sleeping and the woman is reading a book.,1,SNLI-train,SNLI-CONTRADICTION,233327292.jpg#2,233327292.jpg#2r1c,SNLI
A businessman in gray slacks is standing at a food booth waiting to be served.,A business man is waiting to order food.,5,SNLI-train,SNLI-ENTAILMENT,2335150014.jpg#1,2335150014.jpg#1r1e,SNLI
A businessman in gray slacks is standing at a food booth waiting to be served.,A business man is getting lunch.,3,SNLI-train,SNLI-NEUTRAL,2335150014.jpg#1,2335150014.jpg#1r1n,SNLI
A businessman in gray slacks is standing at a food booth waiting to be served.,A business man wants to be served an elephant.,1,SNLI-train,SNLI-CONTRADICTION,2335150014.jpg#1,2335150014.jpg#1r1c,SNLI
a old lady sitting on the footpath.,An older woman is sitting down on a path.,5,SNLI-train,SNLI-ENTAILMENT,2352684051.jpg#4,2352684051.jpg#4r1e,SNLI
a old lady sitting on the footpath.,An older woman is having a heat attack and sitting on a foot path.,2,SNLI-train,SNLI-NEUTRAL,2352684051.jpg#4,2352684051.jpg#4r1n,SNLI
a old lady sitting on the footpath.,A rabbit is eating a carrot.,2,SNLI-train,SNLI-CONTRADICTION,2352684051.jpg#4,2352684051.jpg#4r1c,SNLI
A bride and groom are standing outside with a plethora of nicely dressed people behind them.,A wedding just took place in front of family and friends,5,SNLI-train,SNLI-ENTAILMENT,2354925198.jpg#1,2354925198.jpg#1r1e,SNLI
A bride and groom are standing outside with a plethora of nicely dressed people behind them.,The bride and the groom have processed out of the church,3,SNLI-train,SNLI-NEUTRAL,2354925198.jpg#1,2354925198.jpg#1r1n,SNLI
A bride and groom are standing outside with a plethora of nicely dressed people behind them.,This is the saddest day for the both of them,2,SNLI-train,SNLI-CONTRADICTION,2354925198.jpg#1,2354925198.jpg#1r1c,SNLI
A boy in a fuzzy goat holds a craw and looks at it.,A human holds a craw,5,SNLI-train,SNLI-ENTAILMENT,2355578735.jpg#1,2355578735.jpg#1r1e,SNLI
A boy in a fuzzy goat holds a craw and looks at it.,A funny human holds a craw,3,SNLI-train,SNLI-NEUTRAL,2355578735.jpg#1,2355578735.jpg#1r1n,SNLI
A boy in a fuzzy goat holds a craw and looks at it.,Nobody has a craw,1,SNLI-train,SNLI-CONTRADICTION,2355578735.jpg#1,2355578735.jpg#1r1c,SNLI
A man with a cellphone calling and two women are sitting on the beach,People are near the water.,5,SNLI-train,SNLI-ENTAILMENT,2359862217.jpg#3,2359862217.jpg#3r1e,SNLI
A man with a cellphone calling and two women are sitting on the beach,The women are wearing bathing suits.,3,SNLI-train,SNLI-NEUTRAL,2359862217.jpg#3,2359862217.jpg#3r1n,SNLI
A man with a cellphone calling and two women are sitting on the beach,The women are alone at the beach.,1,SNLI-train,SNLI-CONTRADICTION,2359862217.jpg#3,2359862217.jpg#3r1c,SNLI
woman and little girl wearing red in Asian area,A girl is wearing red,5,SNLI-train,SNLI-ENTAILMENT,2363419943.jpg#4,2363419943.jpg#4r1e,SNLI
woman and little girl wearing red in Asian area,The woman is the girls mother,3,SNLI-train,SNLI-NEUTRAL,2363419943.jpg#4,2363419943.jpg#4r1n,SNLI
woman and little girl wearing red in Asian area,The girl is wearing white,1,SNLI-train,SNLI-CONTRADICTION,2363419943.jpg#4,2363419943.jpg#4r1c,SNLI
Presenters speaking at conference.,people speaking,5,SNLI-train,SNLI-ENTAILMENT,2366958894.jpg#4,2366958894.jpg#4r1e,SNLI
Presenters speaking at conference.,people giving an award,2,SNLI-train,SNLI-NEUTRAL,2366958894.jpg#4,2366958894.jpg#4r1n,SNLI
Presenters speaking at conference.,cat chases another cat,2,SNLI-train,SNLI-CONTRADICTION,2366958894.jpg#4,2366958894.jpg#4r1c,SNLI
A group of theater students are jumping in sequence on stage.,A group of students are on a stage.,5,SNLI-train,SNLI-ENTAILMENT,2370209156.jpg#3,2370209156.jpg#3r1e,SNLI
A group of theater students are jumping in sequence on stage.,A group of students are performing a play.,5,SNLI-train,SNLI-NEUTRAL,2370209156.jpg#3,2370209156.jpg#3r1n,SNLI
A group of theater students are jumping in sequence on stage.,A group of students are relaxed while watching a play.,2,SNLI-train,SNLI-CONTRADICTION,2370209156.jpg#3,2370209156.jpg#3r1c,SNLI
A group of people enjoying an outing on a boat.,THERE ARE MEN ARE ON A BOAT,4,SNLI-train,SNLI-ENTAILMENT,2382847674.jpg#3,2382847674.jpg#3r1e,SNLI
A group of people enjoying an outing on a boat.,SOME PEOPLE ARE FISHING ON A BOAT,3,SNLI-train,SNLI-NEUTRAL,2382847674.jpg#3,2382847674.jpg#3r1n,SNLI
A group of people enjoying an outing on a boat.,TWO PEOPLE ARE RIDING A MOTORCYCLE,1,SNLI-train,SNLI-CONTRADICTION,2382847674.jpg#3,2382847674.jpg#3r1c,SNLI
A man hugging his spouse looks across the waterway.,A man and woman embrace looking at water,5,SNLI-train,SNLI-ENTAILMENT,2385146732.jpg#2,2385146732.jpg#2r1e,SNLI
A man hugging his spouse looks across the waterway.,A man and woman engage contact near water,5,SNLI-train,SNLI-NEUTRAL,2385146732.jpg#2,2385146732.jpg#2r1n,SNLI
A man hugging his spouse looks across the waterway.,Two men in a field look towards rocks,2,SNLI-train,SNLI-CONTRADICTION,2385146732.jpg#2,2385146732.jpg#2r1c,SNLI
"An older man holding a crook, outside, wearing a red embroidered hat with a black tassel hanging from it, red glasses, and red and gold embroidered vest over white robes",The old man was wearing a hat and glasses with his white robe.,5,SNLI-train,SNLI-ENTAILMENT,2386358817.jpg#0,2386358817.jpg#0r1e,SNLI
"An older man holding a crook, outside, wearing a red embroidered hat with a black tassel hanging from it, red glasses, and red and gold embroidered vest over white robes","The old man with the robe, hat and glasses is a karate master.",2,SNLI-train,SNLI-NEUTRAL,2386358817.jpg#0,2386358817.jpg#0r1n,SNLI
"An older man holding a crook, outside, wearing a red embroidered hat with a black tassel hanging from it, red glasses, and red and gold embroidered vest over white robes",The old man was wearing a red robe with no hat.,2,SNLI-train,SNLI-CONTRADICTION,2386358817.jpg#0,2386358817.jpg#0r1c,SNLI
A person with a black knapsack and wearing a helmet is riding a blue scooter.,A person is riding a scooter,5,SNLI-train,SNLI-ENTAILMENT,2402301574.jpg#2,2402301574.jpg#2r1e,SNLI
A person with a black knapsack and wearing a helmet is riding a blue scooter.,A person with a black knapsack and wearing a helmet is riding a blue scooter to work.,3,SNLI-train,SNLI-NEUTRAL,2402301574.jpg#2,2402301574.jpg#2r1n,SNLI
A person with a black knapsack and wearing a helmet is riding a blue scooter.,A person with a white knapsack and wearing a helmet is riding a blue scooter.,2,SNLI-train,SNLI-CONTRADICTION,2402301574.jpg#2,2402301574.jpg#2r1c,SNLI
"A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray.",two people play a game with fruits and vegetables on the table,5,SNLI-train,SNLI-ENTAILMENT,2403832405.jpg#0,2403832405.jpg#0r1e,SNLI
"A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray.",A man is trying to beat his opponent for the first time.,3,SNLI-train,SNLI-NEUTRAL,2403832405.jpg#0,2403832405.jpg#0r4n,SNLI
"A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray.",two people throwing a rock,2,SNLI-train,SNLI-CONTRADICTION,2403832405.jpg#0,2403832405.jpg#0r1c,SNLI
Oklahoma University's Sooners football team playing against a rival.,Their is a football game going on.,5,SNLI-train,SNLI-ENTAILMENT,241345981.jpg#3,241345981.jpg#3r1e,SNLI
Oklahoma University's Sooners football team playing against a rival.,The Sooners team is going to score.,2,SNLI-train,SNLI-NEUTRAL,241345981.jpg#3,241345981.jpg#3r1n,SNLI
Oklahoma University's Sooners football team playing against a rival.,Their is a hockey game going on.,1,SNLI-train,SNLI-CONTRADICTION,241345981.jpg#3,241345981.jpg#3r1c,SNLI
A football player in red being tackled by opponents in white.,A football player got rammed by the opposing team.,5,SNLI-train,SNLI-ENTAILMENT,241347300.jpg#4,241347300.jpg#4r1e,SNLI
A football player in red being tackled by opponents in white.,A football player is defensive towards his opponent.,4,SNLI-train,SNLI-NEUTRAL,241347300.jpg#4,241347300.jpg#4r1n,SNLI
A football player in red being tackled by opponents in white.,A soccer player is seriously injured on the field.,2,SNLI-train,SNLI-CONTRADICTION,241347300.jpg#4,241347300.jpg#4r1c,SNLI
"A man, whose face is obstructed by a lampshade, is sitting next to a bar with drinks, and a mannequin stands nearby.",The man is sitting.,5,SNLI-train,SNLI-ENTAILMENT,2419816094.jpg#0,2419816094.jpg#0r1e,SNLI
"A man, whose face is obstructed by a lampshade, is sitting next to a bar with drinks, and a mannequin stands nearby.",There are no drinks.,1,SNLI-train,SNLI-CONTRADICTION,2419816094.jpg#0,2419816094.jpg#0r1c,SNLI
A man in a red coat stands in front of a lighthouse surrounded by a stone wall.,There is a man standing outside near a wall.,5,SNLI-train,SNLI-ENTAILMENT,2423550887.jpg#0,2423550887.jpg#0r1e,SNLI
A man in a red coat stands in front of a lighthouse surrounded by a stone wall.,"A man stands in front of an active lighthouse, staring at its light.",3,SNLI-train,SNLI-NEUTRAL,2423550887.jpg#0,2423550887.jpg#0r1n,SNLI
A man in a red coat stands in front of a lighthouse surrounded by a stone wall.,"A man looks at a demolished lighthouse, saddened.",2,SNLI-train,SNLI-CONTRADICTION,2423550887.jpg#0,2423550887.jpg#0r1c,SNLI
A person is cooking what look likes sauce.,The person cooks a sauce.,4,SNLI-train,SNLI-ENTAILMENT,2428753812.jpg#4,2428753812.jpg#4r1e,SNLI
A person is cooking what look likes sauce.,The person cooks a secret sauce.,3,SNLI-train,SNLI-NEUTRAL,2428753812.jpg#4,2428753812.jpg#4r1n,SNLI
A person is cooking what look likes sauce.,The person grills steaks.,2,SNLI-train,SNLI-CONTRADICTION,2428753812.jpg#4,2428753812.jpg#4r1c,SNLI
Man in orange shirt thinking while drinking a margarita.,A man in an orange shirt is drinking a margarita.,5,SNLI-train,SNLI-ENTAILMENT,2435508244.jpg#1,2435508244.jpg#1r1e,SNLI
Man in orange shirt thinking while drinking a margarita.,The man is an alcoholic.,2,SNLI-train,SNLI-NEUTRAL,2435508244.jpg#1,2435508244.jpg#1r1n,SNLI
Man in orange shirt thinking while drinking a margarita.,The man is wearing a blue shirt.,1,SNLI-train,SNLI-CONTRADICTION,2435508244.jpg#1,2435508244.jpg#1r1c,SNLI
Two best friends embracing their friendship.,Two friends are currently together.,5,SNLI-train,SNLI-ENTAILMENT,2438754748.jpg#3,2438754748.jpg#3r1e,SNLI
Two best friends embracing their friendship.,The best friends are watching a sunset.,3,SNLI-train,SNLI-NEUTRAL,2438754748.jpg#3,2438754748.jpg#3r1n,SNLI
Two best friends embracing their friendship.,Two friends are arguing and discontinuing friendship.,2,SNLI-train,SNLI-CONTRADICTION,2438754748.jpg#3,2438754748.jpg#3r1c,SNLI
A young and old Hindu ringing bells at a religious ceremony.,There are people at a ceremony.,4,SNLI-train,SNLI-ENTAILMENT,2439942035.jpg#4,2439942035.jpg#4r1e,SNLI
A young and old Hindu ringing bells at a religious ceremony.,Young and old Hindi people are celebrating a marriage,4,SNLI-train,SNLI-NEUTRAL,2439942035.jpg#4,2439942035.jpg#4r1n,SNLI
A young and old Hindu ringing bells at a religious ceremony.,A group of small children are playing basketball,1,SNLI-train,SNLI-CONTRADICTION,2439942035.jpg#4,2439942035.jpg#4r1c,SNLI
A student uses old planer to work wood in a shop.,A student is working in a wood shop.,5,SNLI-train,SNLI-ENTAILMENT,2441817857.jpg#3,2441817857.jpg#3r1e,SNLI
A student uses old planer to work wood in a shop.,A student is making a bird house in the shop.,3,SNLI-train,SNLI-NEUTRAL,2441817857.jpg#3,2441817857.jpg#3r1n,SNLI
A student uses old planer to work wood in a shop.,A student is cooking mac and cheese.,1,SNLI-train,SNLI-CONTRADICTION,2441817857.jpg#3,2441817857.jpg#3r1c,SNLI
A man in overalls helps to raise a wooden stair banister with a pulley system.,The male has clothes on.,5,SNLI-train,SNLI-ENTAILMENT,2442648548.jpg#1,2442648548.jpg#1r1e,SNLI
A man in overalls helps to raise a wooden stair banister with a pulley system.,The man is remodeling his home and using a pulley system to place the wooden stair banister in.,5,SNLI-train,SNLI-NEUTRAL,2442648548.jpg#1,2442648548.jpg#1r1n,SNLI
A man in overalls helps to raise a wooden stair banister with a pulley system.,The man is asleep in bed.,1,SNLI-train,SNLI-CONTRADICTION,2442648548.jpg#1,2442648548.jpg#1r1c,SNLI
A woman in jeans and a sweater is packing a rubber tote.,A woman packs a tote.,5,SNLI-train,SNLI-ENTAILMENT,2445397614.jpg#2,2445397614.jpg#2r1e,SNLI
A woman in jeans and a sweater is packing a rubber tote.,A person is preparing to move.,3,SNLI-train,SNLI-NEUTRAL,2445397614.jpg#2,2445397614.jpg#2r1n,SNLI
A woman in jeans and a sweater is packing a rubber tote.,A group of dogs are playing cards at a table.,1,SNLI-train,SNLI-CONTRADICTION,2445397614.jpg#2,2445397614.jpg#2r1c,SNLI
A woman with a red and orange apron makes paper-mache orbs while her friend leans into the frame.,The woman with a red and orange apron made paper mache orbs,5,SNLI-train,SNLI-ENTAILMENT,2452852757.jpg#0,2452852757.jpg#0r4e,SNLI
A woman with a red and orange apron makes paper-mache orbs while her friend leans into the frame.,A women and friend going crafts,4,SNLI-train,SNLI-NEUTRAL,2452852757.jpg#0,2452852757.jpg#0r2n,SNLI
A woman with a red and orange apron makes paper-mache orbs while her friend leans into the frame.,The woman in the apron didn't know how to make paper mache orbs,1,SNLI-train,SNLI-CONTRADICTION,2452852757.jpg#0,2452852757.jpg#0r4c,SNLI
An African American girl who had just received a doll from a family who adopted her from the states.,A girl is holding a doll.,5,SNLI-train,SNLI-ENTAILMENT,246095918.jpg#1,246095918.jpg#1r5e,SNLI
An African American girl who had just received a doll from a family who adopted her from the states.,A girl is with her new family.,5,SNLI-train,SNLI-NEUTRAL,246095918.jpg#1,246095918.jpg#1r5n,SNLI
An African American girl who had just received a doll from a family who adopted her from the states.,The girl is eating an ice cream cone.,2,SNLI-train,SNLI-CONTRADICTION,246095918.jpg#1,246095918.jpg#1r2c,SNLI
"A person having a conversation with another, as a computer task awaits his return.",Two people talking while a computer waits in the background.,5,SNLI-train,SNLI-ENTAILMENT,246343513.jpg#2,246343513.jpg#2r1e,SNLI
"A person having a conversation with another, as a computer task awaits his return.",The men are collegues arguing about who is going to finish the computer work.,3,SNLI-train,SNLI-NEUTRAL,246343513.jpg#2,246343513.jpg#2r1n,SNLI
"A person having a conversation with another, as a computer task awaits his return.","A person having a conversation with another, as a puppy awaits his return.",2,SNLI-train,SNLI-CONTRADICTION,246343513.jpg#2,246343513.jpg#2r1c,SNLI
All are dancing with full energy to the music sung by the singer.,A group dances energetically.,5,SNLI-train,SNLI-ENTAILMENT,24710703.jpg#3,24710703.jpg#3r1e,SNLI
All are dancing with full energy to the music sung by the singer.,The crowd at the concert dances wildly as the singer gets down onto the dance floor with them.,3,SNLI-train,SNLI-NEUTRAL,24710703.jpg#3,24710703.jpg#3r1n,SNLI
All are dancing with full energy to the music sung by the singer.,The conductor waves his baton.,2,SNLI-train,SNLI-CONTRADICTION,24710703.jpg#3,24710703.jpg#3r1c,SNLI
A heavily adorned buddhist or hindu religious figure wearing an ornate crown on an ornate throne holding a quill.,A religious figure holds a quill.,5,SNLI-train,SNLI-ENTAILMENT,2475131029.jpg#1,2475131029.jpg#1r1e,SNLI
A heavily adorned buddhist or hindu religious figure wearing an ornate crown on an ornate throne holding a quill.,A Buddist figure participates in a ceremony.,3,SNLI-train,SNLI-NEUTRAL,2475131029.jpg#1,2475131029.jpg#1r1n,SNLI
A heavily adorned buddhist or hindu religious figure wearing an ornate crown on an ornate throne holding a quill.,A man pretends to be Jesus.,2,SNLI-train,SNLI-CONTRADICTION,2475131029.jpg#1,2475131029.jpg#1r1c,SNLI
A spoof drag queen dances on a bands stage.,A person dances.,5,SNLI-train,SNLI-ENTAILMENT,24947103.jpg#3,24947103.jpg#3r1e,SNLI
A spoof drag queen dances on a bands stage.,A drag queen is preforming.,5,SNLI-train,SNLI-NEUTRAL,24947103.jpg#3,24947103.jpg#3r1n,SNLI
A spoof drag queen dances on a bands stage.,A man is sleeping.,2,SNLI-train,SNLI-CONTRADICTION,24947103.jpg#3,24947103.jpg#3r1c,SNLI
A recently adopted mixed breed medium sized dog bounds happily around the yard.,A mixed breed dog is happy in the yard.,5,SNLI-train,SNLI-ENTAILMENT,2503629305.jpg#0,2503629305.jpg#0r1e,SNLI
A recently adopted mixed breed medium sized dog bounds happily around the yard.,A boy just adopted a mixed breed dog for his birthday.,3,SNLI-train,SNLI-NEUTRAL,2503629305.jpg#0,2503629305.jpg#0r1n,SNLI
A recently adopted mixed breed medium sized dog bounds happily around the yard.,A full blooded pit bull is angry in the yard.,1,SNLI-train,SNLI-CONTRADICTION,2503629305.jpg#0,2503629305.jpg#0r1c,SNLI
A man reads a placard on top of a monitor.,A man reads a placard.,5,SNLI-train,SNLI-ENTAILMENT,250699226.jpg#4,250699226.jpg#4r1e,SNLI
A man reads a placard on top of a monitor.,A man reads his lines on top of a monitor.,3,SNLI-train,SNLI-NEUTRAL,250699226.jpg#4,250699226.jpg#4r1n,SNLI
A man reads a placard on top of a monitor.,A man naps with his head on his desk.,2,SNLI-train,SNLI-CONTRADICTION,250699226.jpg#4,250699226.jpg#4r1c,SNLI
Voters are waiting to vote.,Voters are standing in line.,5,SNLI-train,SNLI-ENTAILMENT,2507687411.jpg#4,2507687411.jpg#4r1e,SNLI
Voters are waiting to vote.,The voters are in a primarily Republican district.,3,SNLI-train,SNLI-NEUTRAL,2507687411.jpg#4,2507687411.jpg#4r1n,SNLI
Voters are waiting to vote.,The voters have just finished voting.,2,SNLI-train,SNLI-CONTRADICTION,2507687411.jpg#4,2507687411.jpg#4r1c,SNLI
"A worker in a blue shirt is high up on the outside of a tall office building, cleaning the windows.",There is a window cleaner.,5,SNLI-train,SNLI-ENTAILMENT,250906961.jpg#0,250906961.jpg#0r1e,SNLI
"A worker in a blue shirt is high up on the outside of a tall office building, cleaning the windows.",A woman is cleaning the windows of a building.,3,SNLI-train,SNLI-NEUTRAL,250906961.jpg#0,250906961.jpg#0r1n,SNLI
"A worker in a blue shirt is high up on the outside of a tall office building, cleaning the windows.",A topless worker is washing glass.,1,SNLI-train,SNLI-CONTRADICTION,250906961.jpg#0,250906961.jpg#0r1c,SNLI
"A black woman wearing a ""your daily cup"" t-shirt and making espresso.",A woman wearing a labelled t-shirt and making a drink.,4,SNLI-train,SNLI-ENTAILMENT,25166900.jpg#1,25166900.jpg#1r1e,SNLI
"A black woman wearing a ""your daily cup"" t-shirt and making espresso.",A person in a t-shirt making a double shot espresso.,4,SNLI-train,SNLI-NEUTRAL,25166900.jpg#1,25166900.jpg#1r1n,SNLI
"A black woman wearing a ""your daily cup"" t-shirt and making espresso.","A black woman wearing a ""your daily cup"" t-shirt making iced tea.",2,SNLI-train,SNLI-CONTRADICTION,25166900.jpg#1,25166900.jpg#1r1c,SNLI
Middle school aged kids are showing their school spirit at a pep rally.,The kids are at a pep rally.,5,SNLI-train,SNLI-ENTAILMENT,2517284816.jpg#1,2517284816.jpg#1r1e,SNLI
Middle school aged kids are showing their school spirit at a pep rally.,The mascot is dancing at a pep rally.,3,SNLI-train,SNLI-NEUTRAL,2517284816.jpg#1,2517284816.jpg#1r1n,SNLI
Middle school aged kids are showing their school spirit at a pep rally.,The children are in class.,1,SNLI-train,SNLI-CONTRADICTION,2517284816.jpg#1,2517284816.jpg#1r1c,SNLI
Three children play together and act like celebrities with their props.,Three kids are playing.,5,SNLI-train,SNLI-ENTAILMENT,2519483556.jpg#1,2519483556.jpg#1r1e,SNLI
Three children play together and act like celebrities with their props.,Three kids are playing ball with six other kids.,2,SNLI-train,SNLI-NEUTRAL,2519483556.jpg#1,2519483556.jpg#1r1n,SNLI
Three children play together and act like celebrities with their props.,Three kids are running in the school.,3,SNLI-train,SNLI-CONTRADICTION,2519483556.jpg#1,2519483556.jpg#1r1c,SNLI
A young boy in a blue fleece walk on a path toward a bridge.,A young boy is walking on a path outside.,5,SNLI-train,SNLI-ENTAILMENT,2520799246.jpg#1,2520799246.jpg#1r1e,SNLI
A young boy in a blue fleece walk on a path toward a bridge.,A young boy is walking in the woods.,3,SNLI-train,SNLI-NEUTRAL,2520799246.jpg#1,2520799246.jpg#1r1n,SNLI
A young boy in a blue fleece walk on a path toward a bridge.,A young boy is walking to Mars.,1,SNLI-train,SNLI-CONTRADICTION,2520799246.jpg#1,2520799246.jpg#1r1c,SNLI
kid eating pasta,The kid is human.,5,SNLI-train,SNLI-ENTAILMENT,2521878609.jpg#4,2521878609.jpg#4r1e,SNLI
kid eating pasta,The kid is hungry.,4,SNLI-train,SNLI-NEUTRAL,2521878609.jpg#4,2521878609.jpg#4r1n,SNLI
kid eating pasta,The kid is sleeping.,1,SNLI-train,SNLI-CONTRADICTION,2521878609.jpg#4,2521878609.jpg#4r1c,SNLI
A group of people have an outside cookout.,A group of people having a barbecue.,5,SNLI-train,SNLI-ENTAILMENT,2526086176.jpg#2,2526086176.jpg#2r1e,SNLI
A group of people have an outside cookout.,A family cooking out,3,SNLI-train,SNLI-NEUTRAL,2526086176.jpg#2,2526086176.jpg#2r1n,SNLI
