CONTEXT,HYPOTHESIS,LABEL,CONTEXT_FROM,HYPOTHESIS_FROM,SUBSET
Anthony always wanted a career in photography,A person experiments with the photography .,3,ROCStories,AGCI-WK,AGCI
A man being dipped by a woman in a mirrored dance studio .,A person maintains the studio .,5,SNLI-train,AGCI-WK,AGCI
A worker bringing crops to his homeland .,The homeland is a country .,5,SNLI-train,AGCI-WK,AGCI
"A tour guide in New York is passing by Times Square , likely describing the history and attractions the main square has to offer .",A person is a keen practitioner of the history .,2,SNLI-train,AGCI-WK,AGCI
Sonya was a great runner,A person is set up by the runner .,2,ROCStories,AGCI-WK,AGCI
The woman's ring slipped off in the shower.,The woman polished the ring.,3,COPA-premise,COPA-effect,COPA
Children play on a slide in a lake .,The slide is plate glass .,1,SNLI-train,AGCI-WK,AGCI
A man playing a board game with figures and dice takes his turn .,The dice is a cube .,5,SNLI-train,AGCI-WK,AGCI
Randy went hiking with his dog,A union demands the hiking .,2,ROCStories,AGCI-WK,AGCI
A girl is catching a baseball before an opponent touches base .,A person sets the base .,2,SNLI-train,AGCI-WK,AGCI
Lisa came down with the flu,A girl dies of the flu .,2,ROCStories,AGCI-WK,AGCI
A band is practicing for their next gig .,A person goes on the gig .,1,SNLI-train,AGCI-WK,AGCI
There are many children working on different activities in the classroom .,The activities are a state .,3,SNLI-train,AGCI-WK,AGCI
A black woman in winter clothes standing in a building entry .,The entry is a written record .,1,SNLI-train,AGCI-WK,AGCI
This man is kayaking in whitewater .,A country faces the whitewater .,2,SNLI-train,AGCI-WK,AGCI
"Two young men are on a vast , level expanse of grass , and the man in the red shirt is catching the white Frisbee .",The expanse forces thousands to flee .,1,SNLI-test,AGCI-WK,AGCI
a lone climber on a snowy moutainside .,The climber is tested .,3,SNLI-train,AGCI-WK,AGCI
"A large , black dog is practicing attacking a culprit on a uniformed man .",The culprit is sentenced to years .,3,SNLI-train,AGCI-WK,AGCI
Young children observe a nature habitat through a glass window .,Remains are discovered in the habitat .,2,SNLI-train,AGCI-WK,AGCI
A woman is cleaning up by putting dishes in the dishwasher after making supper .,The dishwasher leads a rally .,1,SNLI-test,AGCI-WK,AGCI
An old ban with a black hat and tie walks down a city street .,A person repeats the ban .,1,SNLI-dev,AGCI-WK,AGCI
Drew took out the lobster from the fridge,The fridge is timed .,1,ROCStories,AGCI-WK,AGCI
"A man in a wetsuit , with scuba gear on his back , leans over on a rocky plateau .",The plateau is essential to a defense .,2,SNLI-train,AGCI-WK,AGCI
Lucas volunteered to do a fundraising campaign,"Since he was shy, only a few customers bought them.",3,ROCStories-1st,ROCStories-3rd,ROC
A woman sits hidden in the dried stray awaiting an animal in the wild.,a person is sitting .,5,SNLI-train,AGCI-NN,AGCI
Three young men and 1 young lady are protesting about the exploitation of young workers .,The exploitation is widespread .,3,SNLI-train,AGCI-WK,AGCI
An old woman with pink sunglasses is holding two magazines in a busy street .,The magazines offer an apology .,2,SNLI-train,AGCI-WK,AGCI
My wife and I decided we needed to set up a budget,The budget is balanced .,4,ROCStories,AGCI-WK,AGCI
"An amateur astronomer looks into the eyepiece of a large telescope set up in a field next to its carrying case, while another one overviews the telescope itself.",there is an accident .,3,SNLI-train,AGCI-NN,AGCI
"A man in a brown jacket , white shirt , and dark slacks is holding a book with his finger on the page while sitting on a wooden floor , and leaning against a yellow wall with a door on one side and cloths on hangers on the other side .",A person dresses the hangers .,1,SNLI-dev,AGCI-WK,AGCI
"A group of protesters , many in Muslim-styled clothing walk down the street carrying signs with sentiments against the occupation of Gaza .",The sentiments are calmed .,1,SNLI-train,AGCI-WK,AGCI
I put a camera in the kitchen because of an ongoing problem,The camera is crude .,1,ROCStories,AGCI-WK,AGCI
A woman holds a little girl next to a large wooden carving of a bear .,A government announces the carving .,1,SNLI-dev,AGCI-WK,AGCI
A white dog with a sweater on and a black and brown dog touching noses .,The noses are a front .,2,SNLI-train,AGCI-WK,AGCI
A lady in red pinstripes is surrounded by people taking pictures .,The pinstripes are inspired by a coastline .,2,SNLI-train,AGCI-WK,AGCI
"Five people standing on a stage , getting ready to perform , who are unrecognizable due to the lack of lighting .",The lack is the main reason .,1,SNLI-test,AGCI-WK,AGCI
Roxy 's home is filled with clutter,A person faces the clutter .,3,ROCStories,AGCI-WK,AGCI
There are three policemen on bikes making sure that the streets are cleared for the president .,The president is a presiding officer .,5,SNLI-dev,AGCI-WK,AGCI
A rollerblader is performing a trick on a ramp .,The rollerblader is linked to an insurgency .,2,SNLI-train,AGCI-WK,AGCI
3 men in hard hats directing the placement of a large piece of equipment .,The placement is a bonanza .,1,SNLI-train,AGCI-WK,AGCI
Beth wanted to make some brownies,A person is propositioned by the brownies .,1,ROCStories,AGCI-WK,AGCI
snowboarder doing a trick with his lib tech ski board mountains in the background judges or safety personal in the background,The personal refuses to die .,1,SNLI-train,AGCI-WK,AGCI
Three kids in a golden chariot being pulled by six little dogs .,The chariot is a carriage .,5,SNLI-train,AGCI-WK,AGCI
A person dressed in winter clothes poses with a snowman surrounded by snow covered landscape .,The landscape is safe .,4,SNLI-test,AGCI-WK,AGCI
Jane always wanted a pony,She asked her parents for one every year.,4,ROCStories-1st,ROCStories-2nd,ROC
A man wearing a blue coat with yellow stripes is sitting in an airplane that is taking off .,The airplane makes a landing .,4,SNLI-train,AGCI-WK,AGCI
Jimmy thought he did n't have to follow rules,On that day the community was under a burning ban.,2,ROCStories-1st,ROCStories-3rd,ROC
Two women in matching black and green outfits leap in synchronization during a play .,The synchronization continues to strengthen .,2,SNLI-train,AGCI-WK,AGCI
A boy wearing a hat and sitting on a wall looks over at a group of people standing by the riverside .,The riverside is a bank .,5,SNLI-train,AGCI-WK,AGCI
A young man is lifting weights at the gym while a young woman is walking the treadmill in the background .,The gym is an athletic facility .,5,SNLI-train,AGCI-WK,AGCI
An older South American woman is knitting colorful hand warmers and enjoying herself .,The warmers warm up .,3,SNLI-dev,AGCI-WK,AGCI
Gray-haired man in dress shirt plays the bassoon while reading sheet music from a stand,The bassoon sounds like a clarinet .,2,SNLI-train,AGCI-WK,AGCI
"A dog 's head is tilted back , and he appears to be looking at an insect flying by .",A person tries to clean the insect .,2,SNLI-train,AGCI-WK,AGCI
The traveler walked on the shaky suspension bridge.,He felt terrified.,4,COPA-premise,COPA-effect,COPA
Women in sari examine a graph .,The graph matches a graph .,2,SNLI-train,AGCI-WK,AGCI
Two white standard poodles playing tug-of-war in the snow .,The standard is a flag .,1,SNLI-train,AGCI-WK,AGCI
Protesters protesting age discrimination on the main streets after refusing a word from their employer,The employer is a leader .,5,SNLI-train,AGCI-WK,AGCI
"An athletic woman in a gray top and black shorts , seems very focused on her rollerblading .",A person speaks of the rollerblading .,3,SNLI-test,AGCI-WK,AGCI
A chef cuts into a large fowl with a big cleaver while in the kitchen .,An outbreak is contained in the fowl .,1,SNLI-train,AGCI-WK,AGCI
A little girl giggles and smiles happily as she kneels on her bed .,A person has to settle for the giggles .,1,SNLI-train,AGCI-WK,AGCI
An adult riding a bike on a beach with many visible vapour trails in the sky .,The vapour is a phase change .,1,SNLI-train,AGCI-WK,AGCI
"A woman sitting behind a counter at work is wearing a white lab coat , glasses , and gold jewelry as she reads leaflets that she is holding .",The leaflets are a book .,5,SNLI-train,AGCI-WK,AGCI
The rain subsided.,I browsed the internet.,3,COPA-premise,COPA-effect,COPA
Jericho was a miniature schnauzer my cousin owned,The schnauzer dies .,2,ROCStories,AGCI-WK,AGCI
A man wearing a red jacket looks at a paper while another man in a black jacket looks at the camera in a snow-covered field .,The paper quotes an official .,4,SNLI-train,AGCI-WK,AGCI
The woman complimented the man.,He sneezed.,3,COPA-premise,COPA-effect,COPA
Young female athlete shoots a goal in exciting soccer match-up .,People talk about the match-up .,3,SNLI-train,AGCI-WK,AGCI
Jay was a firm believer that his car was faster than Joe 's,They agreed to race after school.,3,ROCStories-1st,ROCStories-2nd,ROC
A woman is holding a large check for Kids Food Basket .,The check is a difficulty .,1,SNLI-test,AGCI-WK,AGCI
Gina 's friend Tami had a new unicorn folder,But the teacher was talking to the class.,3,ROCStories-1st,ROCStories-3rd,ROC
Two hockey players are playing hockey in an ice arena with an advisement of Geico in the background,The advisement is a consideration .,2,SNLI-train,AGCI-WK,AGCI
A child hugs a birdhouse .,A person builds the birdhouse .,3,SNLI-test,AGCI-WK,AGCI
A couple of peace corp workers are helping a black kid dig .,The dig backfires .,1,SNLI-dev,AGCI-WK,AGCI
Kim gathered all her pots and pans from the kitchen,She arranged them upside down in a circle around her.,3,ROCStories-1st,ROCStories-2nd,ROC
A small tavern that serves corona extra .,The corona is a radiance .,1,SNLI-train,AGCI-WK,AGCI
The CEO of the company resigned.,The board of directors found his replacement.,5,COPA-premise,COPA-effect,COPA
Katie was making a casserole in home ec class,The casserole blows up .,2,ROCStories,AGCI-WK,AGCI
"A man wearing a plaid cap, his arm covered in tattoos, pours a mixed drink into a martini glass that sits beside an squat liquor bottle with a silver label, a dark brown bottle with a light label and a green bottle with a striped, brown label.",the sports player is moving .,5,SNLI-train,AGCI-NN,AGCI
An adult and a kid are both wearing yellow shirts and the child is putting glue on a piece of paper .,The glue is to be used .,3,SNLI-train,AGCI-WK,AGCI
Young girl sticks cocktail umbrellas into cork plugs .,The plugs are an electrical device .,2,SNLI-train,AGCI-WK,AGCI
Kenya met up with her ex-boyfriend at a coffee spot,The spot is improved .,2,ROCStories,AGCI-WK,AGCI
A person wearing orange stockings and chunky boots has her legs stretched out on the grass .,The stockings report an income .,1,SNLI-test,AGCI-WK,AGCI
A child sings into a loofa in the bathtub,The loofa is a fiber .,5,SNLI-train,AGCI-WK,AGCI
A street vendor is adjusting the grill on a bicycle-mounted brazier .,The brazier fails to detonate .,2,SNLI-train,AGCI-WK,AGCI
"Two women are competing in archery , one wearing blue and the other wearing red .",The archery levels out .,2,SNLI-train,AGCI-WK,AGCI
My family took a basket of food to the beach,My sister handed my brother a piece of chicken.,3,ROCStories-1st,ROCStories-2nd,ROC
Rick opened the window in his room to let in cool air,But the window didn't have a screen.,3,ROCStories-1st,ROCStories-2nd,ROC
A male musician dressed in black with a guitar pick in his mouth performs during a concert playing the guitar looking out at the crown with a back drop of a single stage light and Jumbo screens .,The crown is a vertex .,2,SNLI-train,AGCI-WK,AGCI
2 young girls are sitting in front of a bookcase and 1 is reading a book .,The 1 is killed .,2,SNLI-train,AGCI-WK,AGCI
A woman is swordfighting with an unseen opponent .,A person takes on the opponent .,5,SNLI-train,AGCI-WK,AGCI
A jockey rides his brown horse as the horse gallops along the track .,The gallops are illusory .,1,SNLI-train,AGCI-WK,AGCI
Two people in a traditional Japanese dragon costume perform in front of a small Japanese shrine with a man in a business suit standing in the back watching .,A person wants to visit the shrine .,3,SNLI-train,AGCI-WK,AGCI
Two young boys have fun bowling throwing their ball down a brightly lit bowling alley .,The bowling is a game .,5,SNLI-train,AGCI-WK,AGCI
some people in desert garb are standing on and next to rugs and cloth .,The rugs are a floor cover .,5,SNLI-train,AGCI-WK,AGCI
A grocery store worker cleans cabbages near a large display of broccoli .,The cabbages are a cruciferous vegetable .,4,SNLI-train,AGCI-WK,AGCI
An older woman paints with watercolors in a mostly empty community room .,A person backs the watercolors .,1,SNLI-train,AGCI-WK,AGCI
Train riders pass off a loop to one another as they pass .,A person doubles the loop .,2,SNLI-train,AGCI-WK,AGCI
A boy playing Pokemon while dressed in red pajamas decorated with penguins and snowflakes .,The snowflakes kill fish .,1,SNLI-train,AGCI-WK,AGCI
An architect hammers a nail ; his hard hat reads '' emergency architects . '',A person plays the architect .,1,SNLI-train,AGCI-WK,AGCI
John and his dad were on their way to the grainery to pick up seed,An issue is resolved through the way .,1,ROCStories,AGCI-WK,AGCI
Alex was in his bedroom,A person goes into the bedroom .,3,ROCStories,AGCI-WK,AGCI
A christian woman is ironing clothes and making alterations to them .,The alterations are a transformation .,5,SNLI-train,AGCI-WK,AGCI
Aaron landed an arrow dead center on a target,The center is a building .,1,ROCStories,AGCI-WK,AGCI
A bartender measures some liquid into a jigger .,The jigger is a mast .,1,SNLI-train,AGCI-WK,AGCI
A performer wearing a dark red and black patterned jacket is performing on a kazoo while someone plays the keyboard in the dark and misty background .,A person detonates the kazoo .,1,SNLI-train,AGCI-WK,AGCI
Two boys playing a game with marbles .,The marbles have a cast .,1,SNLI-train,AGCI-WK,AGCI
A woman with gray hair picks up a tomato and tests for ripeness in an outdoor market as the merchant looks on .,The ripeness are a maturity .,5,SNLI-train,AGCI-WK,AGCI
"A young man , wearing a T-shirt that says Joplin , plays the guitar in front of a large amplifier .",The amplifier is electronic equipment .,5,SNLI-test,AGCI-WK,AGCI
The chef hit the egg on the side of the bowl.,The egg rotted.,2,COPA-premise,COPA-effect,COPA
two soccer players kick a soccer ball .,The ball dies .,1,SNLI-train,AGCI-WK,AGCI
A ladies whisper has brought a smile to a GI 's face .,The whisper helps to sell a book .,2,SNLI-train,AGCI-WK,AGCI
"A man with a mustache and glasses in a red jacket stands in an open doorway at the bottom of some stairs , holding his keys .",A person sits around the keys .,1,SNLI-train,AGCI-WK,AGCI
a man in protective gear sitting on a bike is getting ready to joust .,The joust fails .,2,SNLI-train,AGCI-WK,AGCI
Andrea was nervous when she arrived to color guard tryouts,The tryouts are an experiment .,3,ROCStories,AGCI-WK,AGCI
"Four young people stand in a circle conversing , while a man in white button-down shirt , coral colored pants and green hand bandage stands to the side .",The bandage is soaked with a blood .,3,SNLI-dev,AGCI-WK,AGCI
A young girl in a colorful skirt is in the midst of falling onto a bed .,The skirt is a girl .,1,SNLI-train,AGCI-WK,AGCI
The black dog is tugging at a green rope .,A pin is attached to the rope .,3,SNLI-train,AGCI-WK,AGCI
Timothy heard a weird noise in his house upstairs,The noise is incredible .,3,ROCStories,AGCI-WK,AGCI
A plumber was fixing pipes in an old and historical house,When he removed the trap under a sink a diamond ring came out.,2,ROCStories-1st,ROCStories-2nd,ROC
A male is holding several Tehelka newspapers about a murder .,A program provides the murder .,1,SNLI-train,AGCI-WK,AGCI
A girl in gold and purple is holding a rainbow afghan .,The afghan is prone to a cancer .,1,SNLI-train,AGCI-WK,AGCI
Gwen was tired of her marriage,The marriage is marital status .,5,ROCStories,AGCI-WK,AGCI
An Obama Biden supporter cheers for the Presidential candidate and his running mate .,The mate is an officer .,2,SNLI-test,AGCI-WK,AGCI
The goaltender is crouching in front of the goal .,The goaltender is linked to an insurgency .,2,SNLI-train,AGCI-WK,AGCI
A man putting spackle on the wall .,A person needs to find the spackle .,2,SNLI-train,AGCI-WK,AGCI
I had a dream last night,A person points to the night .,3,ROCStories,AGCI-WK,AGCI
Billy was convinced that he had a great idea for an invention,A person keeps the idea .,3,ROCStories,AGCI-WK,AGCI
"A young man wearing a shirt and hat of ethnic origin laughs as he shows off his cooked delicacies , while a young woman with long brown hair wearing a white sweater gazes at with a smile .",The delicacies are softened by a humor .,1,SNLI-train,AGCI-WK,AGCI
These are modern pirates performing maintenance on their sailboat .,The pirates are outed .,1,SNLI-train,AGCI-WK,AGCI
"A girl , wearing blue goggles and a striped swimsuit , plays in a swimming pool .",A regime is modified for the swimsuit .,2,SNLI-train,AGCI-WK,AGCI
Guy breakdancing on brick floor in front of students ' union .,The union is a happening .,1,SNLI-train,AGCI-WK,AGCI
Lindsey loved reading fantasy novels,The novels have to be reconstructed .,2,ROCStories,AGCI-WK,AGCI
Stew loves libertarian candidates,The candidates are a politician .,5,ROCStories,AGCI-WK,AGCI
A white dog nurses her pups .,The pups are slaughtered .,2,SNLI-train,AGCI-WK,AGCI
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them.,the small girl is sitting on a great place .,3,SNLI-train,AGCI-NN,AGCI
The man extended his hand to me.,I slapped him.,2,COPA-premise,COPA-effect,COPA
A man in khaki pants and a light shirt and hat stands on scaffolding to apply stucco to a building .,The stucco is a plaster .,5,SNLI-train,AGCI-WK,AGCI
A runner splashes through a big puddle in the forest .,The runner faces a ban .,1,SNLI-train,AGCI-WK,AGCI
Two blue inflatable rafts are involved in a collision on white water .,The collision happens .,5,SNLI-train,AGCI-WK,AGCI
A female runner is in front of people dressed up as Spartans warriors and people wearing togas .,A person switches to the togas .,3,SNLI-train,AGCI-WK,AGCI
There was a kid who was afraid of his inhaler,The inhaler has a potential .,1,ROCStories,AGCI-WK,AGCI
Charles ' favorite artist was scheduled to perform at a club,The club is intact .,5,ROCStories,AGCI-WK,AGCI
A little girl in a blue shirt is playing with something on a countertop .,A person opens the shirt .,2,SNLI-train,AGCI-WK,AGCI
"Four musicians , wearing Scottish garments , are playing instruments on the street - two accordion , one horn , and one clarinet .",The accordion is a free-reed instrument .,5,SNLI-train,AGCI-WK,AGCI
Four human figures are backlit by a sunset .,The figures are a model .,2,SNLI-test,AGCI-WK,AGCI
"During a rhythmic gymnastic event , the gymnast in the blue and gold uniforms will be using their hoops to perform .",The gymnast is tested .,3,SNLI-train,AGCI-WK,AGCI
Two dogs are staring at a gray and white cat .,A person chews the cat .,2,SNLI-train,AGCI-WK,AGCI
Two men are working in the dark and only have the headlights of their truck to see by .,A round penetrates the headlights .,1,SNLI-train,AGCI-WK,AGCI
A little girl in a blue shirt is playing with something on a countertop .,The shirt is torn .,3,SNLI-train,AGCI-WK,AGCI
"In this photo , men are getting honored for their bravery .",A playwright points to the bravery .,1,SNLI-train,AGCI-WK,AGCI
MeGan tried her friend 's doorbell but nothing happened,People ring the doorbell .,4,ROCStories,AGCI-WK,AGCI
A child climbs into a go-kart .,The go-kart goes a mph .,4,SNLI-train,AGCI-WK,AGCI
"Nowadays as long as there 's a plug , you can check your email .",A person reads the email .,3,SNLI-train,AGCI-WK,AGCI
A man with khaki clothes is sitting next to a large fruit display comprised mainly of watermelons .,The watermelons are one thing .,1,SNLI-train,AGCI-WK,AGCI
A man in a green shirt and large beige hat is supervising a newsstand that sells snacks and drinks .,Prisoners have the snacks .,2,SNLI-test,AGCI-WK,AGCI
Tom was an aspiring journalist,The journalist is a writer .,5,ROCStories,AGCI-WK,AGCI
A young blond boy is eating cake with a spoon .,The spoon is held over a burner .,2,SNLI-test,AGCI-WK,AGCI
I felt a rumble in my stomach,The stomach is an internal organ .,5,ROCStories,AGCI-WK,AGCI
A skydiver in a yellow parachute prepares for landing .,The skydiver survives an impact .,3,SNLI-train,AGCI-WK,AGCI
Older man leads the band as they play .,The band is to ruin a relay .,2,SNLI-train,AGCI-WK,AGCI
"Five Women , wearing beautiful , colorful saris , in a circle , dancing with their hands raised and touching .",A person deals with the saris .,3,SNLI-dev,AGCI-WK,AGCI
I was walking down the sidewalk,The sidewalk is a walk .,3,ROCStories,AGCI-WK,AGCI
Gretchen made enough salad for 10 people,Offerings include the salad .,5,ROCStories,AGCI-WK,AGCI
A young child sits on the floor and leans against a map to eat .,The map allows a child .,1,SNLI-dev,AGCI-WK,AGCI
"Two men , one with a camera and another with hair clippers are helping another man in kitchen .",The clippers is confiscated .,2,SNLI-dev,AGCI-WK,AGCI
Marathon runners sprinting past a Walgreen 's on their journey to the finish line .,The journey has a meaning .,3,SNLI-train,AGCI-WK,AGCI
Six women that are showing their nationality by holding a flag .,The nationality is people .,1,SNLI-dev,AGCI-WK,AGCI
"Four musicians , wearing Scottish garments , are playing instruments on the street - two accordion , one horn , and one clarinet .",A person plays the accordion .,5,SNLI-train,AGCI-WK,AGCI
My old basketball coach wanted us to go to camp in the summer,The camp is among the dead .,1,ROCStories,AGCI-WK,AGCI
Young boys in martial arts uniforms at a park .,The uniforms are hard currency .,1,SNLI-train,AGCI-WK,AGCI
My college roommate Bill was an avid rock climber,I accepted his invitation.,2,ROCStories-1st,ROCStories-3rd,ROC
A person with cooking utilities poses menacingly in a dark environment .,The utilities are a quality .,3,SNLI-train,AGCI-WK,AGCI
"A red dog , jumping in midair , on a grassy backyard , shot from behind .",A person gets off the behind .,1,SNLI-train,AGCI-WK,AGCI
A hiker standing high on a bluff overlooking the mountains below .,The bluff is confirmed .,1,SNLI-train,AGCI-WK,AGCI
"Two professional soccer players , one dressed in red top and black shorts , the other in blue top and white shorts , compete for control of ball .",The control is realized .,1,SNLI-train,AGCI-WK,AGCI
"A man drops something , reaching for it while a woman in a beige blazer discusses an important topic .",A person returns to the topic .,3,SNLI-test,AGCI-WK,AGCI
Jewish rabbi and young boy reading in a church,there is a camouflaged wheel .,1,SNLI-train,AGCI-NN,AGCI
A child rides a bicycle in a sunny neighborhood .,Police cordon off the neighborhood .,2,SNLI-test,AGCI-WK,AGCI
Foreign men outside the cafe watching others with stern faces .,A match is played on the stern .,1,SNLI-train,AGCI-WK,AGCI
A tall man and short woman shake hands while wearing matching black shirts and yellow IDs .,The IDs are a badge .,5,SNLI-train,AGCI-WK,AGCI
A throng of travelers is walking between two trains on an indoor station platform.,a couple of people walk on an island .,2,SNLI-train,AGCI-NN,AGCI
A man with yellow shoes and a gray hat sits on an orange and blue teeter-totter with a woman .,The teeter-totter plays out against a backdrop .,1,SNLI-train,AGCI-WK,AGCI
Two people on a gray and teal barge are looking down at the water .,The barge unloaded at a facility .,3,SNLI-train,AGCI-WK,AGCI
An old woman with pink sunglasses is holding two magazines in a busy street .,A person picks up the magazines .,4,SNLI-train,AGCI-WK,AGCI
"Three woman walk, in their hijab, alone in an area of Muslim denomination.",three women are walking .,5,SNLI-train,AGCI-NN,AGCI
"Three men in black and yellow competitive sports clothing , carrying short field hockey sticks , with a man dressed in bulky goalie gear over his shins and hands .",A person chooses the shins .,2,SNLI-train,AGCI-WK,AGCI
A construction worker is resting for a bit .,The bit is a stable gear .,4,SNLI-train,AGCI-WK,AGCI
Beth was making a pie for thanksgiving,"She measured, poured, stirred, and baked her pie.",5,ROCStories-1st,ROCStories-3rd,ROC
There once was a man from Peru,He dreamed he was eating his shoe.,3,ROCStories-1st,ROCStories-2nd,ROC
A shirtless man wearing a black hat and a scarf works on an anvil .,The anvil covers an area .,2,SNLI-dev,AGCI-WK,AGCI
"A man with dark hair and mustache talks on his cellphone with a concerned look on his face , while looking at grapes and citrus fruit in front of him .",The citrus are a fruit tree .,4,SNLI-train,AGCI-WK,AGCI
A dentist patient is having his teeth looked at,The patient is ill .,3,SNLI-train,AGCI-WK,AGCI
Bob and I are fighting about whether comedy or drama is better,The better is a quality .,3,ROCStories,AGCI-WK,AGCI
Gina went to the store and got ice cream for herself,She handed Gina some money and sent her back to the store,2,ROCStories-1st,ROCStories-3rd,ROC
The documents contained important information.,I kept them in a secure place.,5,COPA-premise,COPA-effect,COPA
An old customer waits for his food from a vendor .,The customer is king .,2,SNLI-train,AGCI-WK,AGCI
Ali had an enemy named Val,The enemy has a name .,5,ROCStories,AGCI-WK,AGCI
an old woman selling fresh spices .,The spices cause a cancer .,2,SNLI-train,AGCI-WK,AGCI
man and a barefoot woman lying on the grass by water snuggling .,A person wants to have the snuggling .,4,SNLI-train,AGCI-WK,AGCI
Eleven green and black uniformed boys sitting in a circle in one part of a gym with a man in the middle .,The eleven is a team .,5,SNLI-train,AGCI-WK,AGCI
A man is selling jewelry and other trinkets on a blanket he has laid out on the street .,A person is honored to receive the trinkets .,3,SNLI-train,AGCI-WK,AGCI
Red-haired female answers questions while sitting at a table for craftzine .,The answers are a statement .,5,SNLI-test,AGCI-WK,AGCI
A worker on a ship is looking off into the sea while tying a knot in a rope .,The knot is a bunch .,4,SNLI-train,AGCI-WK,AGCI
Jen loved to wear high heels,A person uses the heels .,5,ROCStories,AGCI-WK,AGCI
Lu got into the business of selling chemical enhancements via spam,He searched low and high for a solution to his problem.,2,ROCStories-1st,ROCStories-3rd,ROC
A woman and a man are in an air-traffic control tower looking out onto an airfield .,The airfield is under attack .,2,SNLI-train,AGCI-WK,AGCI
A lady in taken top licking chocolate pudding .,The pudding cancels a contract .,1,SNLI-train,AGCI-WK,AGCI
A trainer runs next to his dog as it jumps through multiple hoops .,A person turns off the trainer .,1,SNLI-dev,AGCI-WK,AGCI
In 2014 the City of Boston erected a statue of Edgar Allen Poe,The statue is a sculpture .,5,ROCStories,AGCI-WK,AGCI
A couple dances at a disco .,A team erupts in the disco .,1,SNLI-train,AGCI-WK,AGCI
A young girl kisses a ring-bearing boy at a wedding .,The wedding is a ritual .,5,SNLI-dev,AGCI-WK,AGCI
Gina 's grandma saved her breakfast as she slept in,She was upset when there was no food on the table.,3,ROCStories-1st,ROCStories-2nd,ROC
A nice looking lady holding a portfolio .,The portfolio is shorted .,2,SNLI-train,AGCI-WK,AGCI
I felt bored.,I yawned.,4,COPA-premise,COPA-effect,COPA
Tom walked into his classroom one morning and saw a new tank,Tom's teacher explained that the turtle was their new pet.,3,ROCStories-1st,ROCStories-3rd,ROC
There was a squirrel across the street,The squirrel is a rodent .,5,ROCStories,AGCI-WK,AGCI
I can play the lane perfect,A person moves to the lane .,3,ROCStories,AGCI-WK,AGCI
A man puts the finishing touches on his graffiti artwork.,a man performs his paint,1,SNLI-train,AGCI-NN,AGCI
"Two men sitting in a living room , one wearing cultural clothing and another in a white shirt and shorts , contemplating on their bike and moped .",A man tumbles off the moped .,2,SNLI-test,AGCI-WK,AGCI
An elderly woman with glasses takes a call on a cellular phone .,The call embarrasses a government .,2,SNLI-train,AGCI-WK,AGCI
Scientists frantically research ways to finally eliminate male baldness .,The baldness are hairlessness .,5,SNLI-test,AGCI-WK,AGCI
"Boy wearing red hat , blue jacket pushing plow in snow .",A lot speeds the plow .,1,SNLI-test,AGCI-WK,AGCI
Billy decided to bring a water gun in our class,The gun is an armament .,5,ROCStories,AGCI-WK,AGCI
My friend had an announcement to make,He told me he was leaving Texas to find a job in Virginia.,3,ROCStories-1st,ROCStories-2nd,ROC
A woman sits in a rowing scull and looks behind her at a dock .,The scull is seized .,2,SNLI-train,AGCI-WK,AGCI
Russ drove to the store to buy some food,A person loves the food .,4,ROCStories,AGCI-WK,AGCI
Clara bought a cactus sapling from a store,For many Years the cactus did not grow.,3,ROCStories-1st,ROCStories-3rd,ROC
A boy wearing a black shirt is playing a game at the arcade .,The arcade is a passageway .,2,SNLI-dev,AGCI-WK,AGCI
The boy is wearing a black t-shirt with an AD parody of the AC logo .,The parody is a caricature .,4,SNLI-train,AGCI-WK,AGCI
A young teen performing a skateboard trick at a construction site caught in midair flipping his board .,The teen is shot .,2,SNLI-train,AGCI-WK,AGCI
A couple is married in a church as guests look on .,A chairman meets the guests .,4,SNLI-dev,AGCI-WK,AGCI
An older man is riding his bike in front of a large cruise ship that is sitting in port.,a man is riding a bike .,5,SNLI-train,AGCI-NN,AGCI
Woman looking through a high-powered microscope at a bacteria in a small vial,The bacteria are vulnerable to a penicillin .,3,SNLI-train,AGCI-WK,AGCI
A man walking the city streets looking at a large wok of food with noodles and peppers .,A person pulls out the peppers .,2,SNLI-train,AGCI-WK,AGCI
Today I tried to make a new cookie recipe,The recipe was given to me by my grandmother.,3,ROCStories-1st,ROCStories-2nd,ROC
Man dressed as a gladiator checks his cellphone .,The gladiator travels with a wife .,3,SNLI-train,AGCI-WK,AGCI
Women in sari examine a graph .,Papers include the graph .,3,SNLI-train,AGCI-WK,AGCI
A man removing human remains from a tomb .,Remains are moved to the tomb .,3,SNLI-train,AGCI-WK,AGCI
This is a small stamp with blue skies and white lines with green bushes .,A government launches the stamp .,3,SNLI-train,AGCI-WK,AGCI
"A man dressed as a cop , has a fake vulture perched on his arm .",The vulture is prosecuted .,1,SNLI-train,AGCI-WK,AGCI
Gina had applied at a number of stores downtown,A technology detects the number .,1,ROCStories,AGCI-WK,AGCI
Two men dressed in white robes and red capes ride bicycles while carrying staffs topped with skulls .,A person fractures the skulls .,2,SNLI-dev,AGCI-WK,AGCI
Carl was meticulous about his sneakers,The sneakers are an informer .,4,ROCStories,AGCI-WK,AGCI
